Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
model/measure,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.6209,0.02490,-1.833 to 1.882
  Burst Duration: Yan,1.012,0.9662,-0.04568,-1.903 to 1.812
  Interburst Interval: TB,3.134,3.106,-0.02784,-1.897 to 1.841
  Interburst Interval: Yan,2.716,2.755,0.03943,-1.830 to 1.909
  Intraburst Frequency: TB,57.08,100.9,43.83,41.97 to 45.69
  Intraburst Frequency: Yan,37.74,70.30,32.56,30.70 to 34.41
  Peaks per Burst: TB,34.01,62.67,28.65,26.80 to 30.51
  Peaks per Burst: Yan,38.12,67.79,29.67,27.81 to 31.52
  Total Cycle Time: TB,3.730,3.727,-0.002994,-1.872 to 1.866
  Total Cycle Time: Yan,3.728,3.721,-0.006394,-1.876 to 1.863
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.02490,0.05455,P > 0.05,ns
  Burst Duration: Yan,-0.04568,0.1001,P > 0.05,ns
  Interburst Interval: TB,-0.02784,0.06060,P > 0.05,ns
  Interburst Interval: Yan,0.03943,0.08584,P > 0.05,ns
  Intraburst Frequency: TB,43.83,95.99,P<0.001,***
  Intraburst Frequency: Yan,32.56,71.31,P<0.001,***
  Peaks per Burst: TB,28.65,62.76,P<0.001,***
  Peaks per Burst: Yan,29.67,64.98,P<0.001,***
  Total Cycle Time: TB,-0.002994,0.006517,P > 0.05,ns
  Total Cycle Time: Yan,-0.006394,0.01392,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,1.371,1.970,0.5984,-1.259 to 2.456
  Burst Duration: Yan,1.848,2.332,0.4840,-1.374 to 2.342
  Interburst Interval: TB,2.360,1.754,-0.6055,-2.475 to 1.264
  Interburst Interval: Yan,1.877,1.387,-0.4896,-2.359 to 1.380
  Intraburst Frequency: TB,31.51,26.90,-4.614,-6.471 to -2.756
  Intraburst Frequency: Yan,26.72,26.01,-0.7026,-2.560 to 1.155
  Peaks per Burst: TB,43.22,52.84,9.617,7.760 to 11.47
  Peaks per Burst: Yan,49.31,60.42,11.11,9.254 to 12.97
  Total Cycle Time: TB,3.731,3.724,-0.006652,-1.876 to 1.862
  Total Cycle Time: Yan,3.725,3.719,-0.005683,-1.875 to 1.863
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.5984,1.311,P > 0.05,ns
  Burst Duration: Yan,0.4840,1.060,P > 0.05,ns
  Interburst Interval: TB,-0.6055,1.318,P > 0.05,ns
  Interburst Interval: Yan,-0.4896,1.066,P > 0.05,ns
  Intraburst Frequency: TB,-4.614,10.11,P<0.001,***
  Intraburst Frequency: Yan,-0.7026,1.539,P > 0.05,ns
  Peaks per Burst: TB,9.617,21.06,P<0.001,***
  Peaks per Burst: Yan,11.11,24.34,P<0.001,***
  Total Cycle Time: TB,-0.006652,0.01448,P > 0.05,ns
  Total Cycle Time: Yan,-0.005683,0.01237,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,1.371,2.313,0.9414,-0.9161 to 2.799
  Burst Duration: Yan,1.848,2.670,0.8216,-1.036 to 2.679
  Interburst Interval: TB,2.360,1.407,-0.9527,-2.822 to 0.9165
  Interburst Interval: Yan,1.877,1.046,-0.8308,-2.700 to 1.038
  Intraburst Frequency: TB,31.51,26.75,-4.764,-6.622 to -2.907
  Intraburst Frequency: Yan,26.72,26.90,0.1858,-1.672 to 2.043
  Peaks per Burst: TB,43.22,61.54,18.32,16.46 to 20.18
  Peaks per Burst: Yan,49.31,71.41,22.10,20.24 to 23.96
  Total Cycle Time: TB,3.731,3.720,-0.01122,-1.880 to 1.858
  Total Cycle Time: Yan,3.725,3.716,-0.009327,-1.878 to 1.860
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.9414,2.062,P > 0.05,ns
  Burst Duration: Yan,0.8216,1.799,P > 0.05,ns
  Interburst Interval: TB,-0.9527,2.074,P > 0.05,ns
  Interburst Interval: Yan,-0.8308,1.808,P > 0.05,ns
  Intraburst Frequency: TB,-4.764,10.44,P<0.001,***
  Intraburst Frequency: Yan,0.1858,0.4069,P > 0.05,ns
  Peaks per Burst: TB,18.32,40.13,P<0.001,***
  Peaks per Burst: Yan,22.10,48.40,P<0.001,***
  Total Cycle Time: TB,-0.01122,0.02442,P > 0.05,ns
  Total Cycle Time: Yan,-0.009327,0.02030,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.371,2.567,1.196,-0.6617 to 3.053
  Burst Duration: Yan,1.848,2.888,1.039,-0.8182 to 2.897
  Interburst Interval: TB,2.360,1.150,-1.210,-3.079 to 0.6592
  Interburst Interval: Yan,1.877,0.8258,-1.051,-2.920 to 0.8181
  Intraburst Frequency: TB,31.51,27.66,-3.849,-5.707 to -1.992
  Intraburst Frequency: Yan,26.72,28.35,1.636,-0.2215 to 3.494
