Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interburst Interval: TB,1.039,2.262,P > 0.05,ns
  Interburst Interval: Yan,1.441,3.136,P < 0.05,*
  Intraburst Frequency: TB,33.71,73.83,P<0.001,***
  Intraburst Frequency: Yan,44.28,96.98,P<0.001,***
  Peaks per Burst: TB,-33.20,72.71,P<0.001,***
  Peaks per Burst: Yan,-28.09,61.52,P<0.001,***
  Total Cycle Time: TB,0.005313,0.01156,P > 0.05,ns
  Total Cycle Time: Yan,0.008814,0.01919,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,1.356,0.3720,-0.9844,-2.842 to 0.8731
  Burst Duration: Yan,1.776,0.3965,-1.380,-3.237 to 0.4778
  Interburst Interval: TB,2.367,3.357,0.9897,-0.8794 to 2.859
  Interburst Interval: Yan,1.944,3.332,1.388,-0.4808 to 3.257
  Intraburst Frequency: TB,42.76,90.60,47.84,45.98 to 49.70
  Intraburst Frequency: Yan,30.44,85.15,54.70,52.84 to 56.56
  Peaks per Burst: TB,57.93,33.74,-24.19,-26.04 to -22.33
  Peaks per Burst: Yan,53.85,33.79,-20.06,-21.92 to -18.20
  Total Cycle Time: TB,3.723,3.729,0.005393,-1.864 to 1.875
  Total Cycle Time: Yan,3.720,3.729,0.008810,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.9844,2.156,P > 0.05,ns
  Burst Duration: Yan,-1.380,3.022,P < 0.05,*
  Interburst Interval: TB,0.9897,2.154,P > 0.05,ns
  Interburst Interval: Yan,1.388,3.022,P < 0.05,*
  Intraburst Frequency: TB,47.84,104.8,P<0.001,***
  Intraburst Frequency: Yan,54.70,119.8,P<0.001,***
  Peaks per Burst: TB,-24.19,52.97,P<0.001,***
  Peaks per Burst: Yan,-20.06,43.94,P<0.001,***
  Total Cycle Time: TB,0.005393,0.01174,P > 0.05,ns
  Total Cycle Time: Yan,0.008810,0.01918,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,1.356,0.4263,-0.9301,-2.788 to 0.9274
  Burst Duration: Yan,1.776,0.4546,-1.322,-3.179 to 0.5358
  Interburst Interval: TB,2.367,3.302,0.9354,-0.9337 to 2.805
  Interburst Interval: Yan,1.944,3.274,1.330,-0.5394 to 3.199
  Intraburst Frequency: TB,42.76,97.89,55.12,53.27 to 56.98
  Intraburst Frequency: Yan,30.44,91.92,61.47,59.62 to 63.33
  Peaks per Burst: TB,57.93,41.75,-16.17,-18.03 to -14.32
  Peaks per Burst: Yan,53.85,41.80,-12.05,-13.91 to -10.19
  Total Cycle Time: TB,3.723,3.729,0.005349,-1.864 to 1.874
  Total Cycle Time: Yan,3.720,3.728,0.008189,-1.861 to 1.877
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.9301,2.037,P > 0.05,ns
  Burst Duration: Yan,-1.322,2.895,P < 0.05,*
  Interburst Interval: TB,0.9354,2.036,P > 0.05,ns
  Interburst Interval: Yan,1.330,2.894,P < 0.05,*
  Intraburst Frequency: TB,55.12,120.7,P<0.001,***
  Intraburst Frequency: Yan,61.47,134.6,P<0.001,***
  Peaks per Burst: TB,-16.17,35.42,P<0.001,***
  Peaks per Burst: Yan,-12.05,26.39,P<0.001,***
  Total Cycle Time: TB,0.005349,0.01164,P > 0.05,ns
  Total Cycle Time: Yan,0.008189,0.01782,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,1.356,0.5028,-0.8536,-2.711 to 1.004
  Burst Duration: Yan,1.776,0.6621,-1.114,-2.972 to 0.7433
  Interburst Interval: TB,2.367,3.226,0.8587,-1.010 to 2.728
  Interburst Interval: Yan,1.944,3.064,1.120,-0.7493 to 2.989
  Intraburst Frequency: TB,42.76,99.97,57.21,55.35 to 59.07
  Intraburst Frequency: Yan,30.44,83.34,52.90,51.04 to 54.76
  Peaks per Burst: TB,57.93,50.23,-7.691,-9.549 to -5.834
  Peaks per Burst: Yan,53.85,55.12,1.272,-0.5859 to 3.129
  Total Cycle Time: TB,3.723,3.728,0.004948,-1.864 to 1.874
  Total Cycle Time: Yan,3.720,3.725,0.005589,-1.864 to 1.875
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.8536,1.870,P > 0.05,ns
  Burst Duration: Yan,-1.114,2.440,P > 0.05,ns
  Interburst Interval: TB,0.8587,1.869,P > 0.05,ns
  Interburst Interval: Yan,1.120,2.438,P > 0.05,ns
  Intraburst Frequency: TB,57.21,125.3,P<0.001,***
  Intraburst Frequency: Yan,52.90,115.9,P<0.001,***
  Peaks per Burst: TB,-7.691,16.85,P<0.001,***
  Peaks per Burst: Yan,1.272,2.785,P > 0.05,ns
  Total Cycle Time: TB,0.004948,0.01077,P > 0.05,ns
  Total Cycle Time: Yan,0.005589,0.01217,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.356,0.6209,-0.7356,-2.593 to 1.122
  Burst Duration: Yan,1.776,0.9662,-0.8101,-2.668 to 1.047
  Interburst Interval: TB,2.367,3.106,0.7388,-1.130 to 2.608
  Interburst Interval: Yan,1.944,2.755,0.8113,-1.058 to 2.680
  Intraburst Frequency: TB,42.76,100.9,58.14,56.28 to 60.00
  Intraburst Frequency: Yan,30.44,70.30,39.86,38.00 to 41.71
  Peaks per Burst: TB,57.93,62.67,4.741,2.883 to 6.598
  Peaks per Burst: Yan,53.85,67.79,13.94,12.08 to 15.80
  Total Cycle Time: TB,3.723,3.727,0.003310,-1.866 to 1.872
  Total Cycle Time: Yan,3.720,3.721,0.001445,-1.868 to 1.871
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.7356,1.611,P > 0.05,ns
  Burst Duration: Yan,-0.8101,1.774,P > 0.05,ns
  Interburst Interval: TB,0.7388,1.608,P > 0.05,ns
  Interburst Interval: Yan,0.8113,1.766,P > 0.05,ns
  Intraburst Frequency: TB,58.14,127.3,P<0.001,***
  Intraburst Frequency: Yan,39.86,87.30,P<0.001,***
  Peaks per Burst: TB,4.741,10.38,P<0.001,***
  Peaks per Burst: Yan,13.94,30.53,P<0.001,***
  Total Cycle Time: TB,0.003310,0.007205,P > 0.05,ns
  Total Cycle Time: Yan,0.001445,0.003145,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,0.5957,0.3226,-0.2731,-1.883 to 1.337
  Burst Duration: Yan,2.089,0.3442,-1.745,-3.602 to 0.1130
  Interburst Interval: TB,1.274,3.406,2.132,0.5133 to 3.751
  Interburst Interval: Yan,1.632,3.384,1.752,-0.1169 to 3.621
  Intraburst Frequency: TB,55.65,76.47,20.82,19.21 to 22.43
  Intraburst Frequency: Yan,28.91,74.72,45.81,43.95 to 47.67
  Peaks per Burst: TB,32.20,24.73,-7.470,-9.081 to -5.860
  Peaks per Burst: Yan,60.23,25.77,-34.47,-36.33 to -32.61
  Total Cycle Time: TB,1.870,3.729,1.858,0.2398 to 3.477
  Total Cycle Time: Yan,3.721,3.729,0.007730,-1.861 to 1.877
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.2731,0.6901,P > 0.05,ns
  Burst Duration: Yan,-1.745,3.821,P<0.01,**
  Interburst Interval: TB,2.132,5.359,P<0.001,***
  Interburst Interval: Yan,1.752,3.814,P<0.01,**
  Intraburst Frequency: TB,20.82,52.61,P<0.001,***
  Intraburst Frequency: Yan,45.81,100.3,P<0.001,***
  Peaks per Burst: TB,-7.470,18.87,P<0.001,***
  Peaks per Burst: Yan,-34.47,75.50,P<0.001,***
  Total Cycle Time: TB,1.858,4.671,P<0.001,***
  Total Cycle Time: Yan,0.007730,0.01683,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.5957,0.3720,-0.2237,-1.834 to 1.387
  Burst Duration: Yan,2.089,0.3965,-1.692,-3.550 to 0.1653
  Interburst Interval: TB,1.274,3.357,2.083,0.4639 to 3.701
  Interburst Interval: Yan,1.632,3.332,1.700,-0.1692 to 3.569
  Intraburst Frequency: TB,55.65,90.60,34.95,33.34 to 36.56
  Intraburst Frequency: Yan,28.91,85.15,56.24,54.38 to 58.09
  Peaks per Burst: TB,32.20,33.74,1.542,-0.06836 to 3.152
  Peaks per Burst: Yan,60.23,33.79,-26.44,-28.30 to -24.59
  Total Cycle Time: TB,1.870,3.729,1.859,0.2399 to 3.477
  Total Cycle Time: Yan,3.721,3.729,0.007726,-1.861 to 1.877
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.2237,0.5652,P > 0.05,ns
  Burst Duration: Yan,-1.692,3.706,P<0.01,**
  Interburst Interval: TB,2.083,5.235,P<0.001,***
  Interburst Interval: Yan,1.700,3.700,P<0.01,**
  Intraburst Frequency: TB,34.95,88.31,P<0.001,***
  Intraburst Frequency: Yan,56.24,123.2,P<0.001,***
  Peaks per Burst: TB,1.542,3.896,P<0.001,***
  Peaks per Burst: Yan,-26.44,57.92,P<0.001,***
  Total Cycle Time: TB,1.859,4.671,P<0.001,***
  Total Cycle Time: Yan,0.007726,0.01682,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.5957,0.4263,-0.1694,-1.780 to 1.441
  Burst Duration: Yan,2.089,0.4546,-1.634,-3.492 to 0.2233
  Interburst Interval: TB,1.274,3.302,2.028,0.4096 to 3.647
  Interburst Interval: Yan,1.632,3.274,1.641,-0.2279 to 3.510
  Intraburst Frequency: TB,55.65,97.89,42.24,40.63 to 43.85
  Intraburst Frequency: Yan,28.91,91.92,63.01,61.15 to 64.87
  Peaks per Burst: TB,32.20,41.75,9.554,7.944 to 11.16
  Peaks per Burst: Yan,60.23,41.80,-18.43,-20.29 to -16.57
  Total Cycle Time: TB,1.870,3.729,1.859,0.2398 to 3.477
  Total Cycle Time: Yan,3.721,3.728,0.007105,-1.862 to 1.876
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.1694,0.4281,P > 0.05,ns
  Burst Duration: Yan,-1.634,3.579,P<0.01,**
  Interburst Interval: TB,2.028,5.098,P<0.001,***
  Interburst Interval: Yan,1.641,3.573,P<0.01,**
  Intraburst Frequency: TB,42.24,106.7,P<0.001,***
  Intraburst Frequency: Yan,63.01,138.0,P<0.001,***
  Peaks per Burst: TB,9.554,24.14,P<0.001,***
  Peaks per Burst: Yan,-18.43,40.37,P<0.001,***
  Total Cycle Time: TB,1.859,4.671,P<0.001,***
  Total Cycle Time: Yan,0.007105,0.01547,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.5957,0.5028,-0.09294,-1.703 to 1.517
  Burst Duration: Yan,2.089,0.6621,-1.427,-3.284 to 0.4308
  Interburst Interval: TB,1.274,3.226,1.952,0.3329 to 3.570
  Interburst Interval: Yan,1.632,3.064,1.431,-0.4377 to 3.301
  Intraburst Frequency: TB,55.65,99.97,44.32,42.71 to 45.93
  Intraburst Frequency: Yan,28.91,83.34,54.43,52.58 to 56.29
  Peaks per Burst: TB,32.20,50.23,18.04,16.43 to 19.65
  Peaks per Burst: Yan,60.23,55.12,-5.111,-6.969 to -3.254
  Total Cycle Time: TB,1.870,3.728,1.858,0.2394 to 3.477
  Total Cycle Time: Yan,3.721,3.725,0.004505,-1.865 to 1.874
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.09294,0.2348,P > 0.05,ns
  Burst Duration: Yan,-1.427,3.125,P < 0.05,*
  Interburst Interval: TB,1.952,4.905,P<0.001,***
  Interburst Interval: Yan,1.431,3.116,P < 0.05,*
  Intraburst Frequency: TB,44.32,112.0,P<0.001,***
  Intraburst Frequency: Yan,54.43,119.2,P<0.001,***
  Peaks per Burst: TB,18.04,45.57,P<0.001,***
  Peaks per Burst: Yan,-5.111,11.19,P<0.001,***
  Total Cycle Time: TB,1.858,4.670,P<0.001,***
  Total Cycle Time: Yan,0.004505,0.009806,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.5957,0.6209,0.02513,-1.585 to 1.635
  Burst Duration: Yan,2.089,0.9662,-1.123,-2.980 to 0.7350
  Interburst Interval: TB,1.274,3.106,1.832,0.2130 to 3.450
  Interburst Interval: Yan,1.632,2.755,1.123,-0.7462 to 2.992
  Intraburst Frequency: TB,55.65,100.9,45.26,43.65 to 46.87
  Intraburst Frequency: Yan,28.91,70.30,41.39,39.53 to 43.25
  Peaks per Burst: TB,32.20,62.67,30.47,28.86 to 32.08
  Peaks per Burst: Yan,60.23,67.79,7.556,5.698 to 9.413
  Total Cycle Time: TB,1.870,3.727,1.856,0.2378 to 3.475
  Total Cycle Time: Yan,3.721,3.721,0.0003610,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.02513,0.06350,P > 0.05,ns
  Burst Duration: Yan,-1.123,2.459,P > 0.05,ns
  Interburst Interval: TB,1.832,4.604,P<0.001,***
  Interburst Interval: Yan,1.123,2.444,P > 0.05,ns
  Intraburst Frequency: TB,45.26,114.3,P<0.001,***
  Intraburst Frequency: Yan,41.39,90.66,P<0.001,***
  Peaks per Burst: TB,30.47,76.98,P<0.001,***
  Peaks per Burst: Yan,7.556,16.55,P<0.001,***
  Total Cycle Time: TB,1.856,4.666,P<0.001,***
  Total Cycle Time: Yan,0.0003610,0.0007857,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.3226,0.3720,0.04942,-1.808 to 1.907
  Burst Duration: Yan,0.3442,0.3965,0.05230,-1.805 to 1.910
  Interburst Interval: TB,3.406,3.357,-0.04935,-1.918 to 1.820
  Interburst Interval: Yan,3.384,3.332,-0.05229,-1.921 to 1.817
  Intraburst Frequency: TB,76.47,90.60,14.13,12.27 to 15.99
  Intraburst Frequency: Yan,74.72,85.15,10.42,8.567 to 12.28
  Peaks per Burst: TB,24.73,33.74,9.012,7.155 to 10.87
  Peaks per Burst: Yan,25.77,33.79,8.025,6.167 to 9.882
  Total Cycle Time: TB,3.729,3.729,0.00008011,-1.869 to 1.869
  Total Cycle Time: Yan,3.729,3.729,-0.000004053,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.04942,0.1082,P > 0.05,ns
  Burst Duration: Yan,0.05230,0.1145,P > 0.05,ns
  Interburst Interval: TB,-0.04935,0.1074,P > 0.05,ns
  Interburst Interval: Yan,-0.05229,0.1138,P > 0.05,ns
  Intraburst Frequency: TB,14.13,30.95,P<0.001,***
  Intraburst Frequency: Yan,10.42,22.83,P<0.001,***
  Peaks per Burst: TB,9.012,19.74,P<0.001,***
  Peaks per Burst: Yan,8.025,17.58,P<0.001,***
  Total Cycle Time: TB,0.00008011,0.0001744,P > 0.05,ns
  Total Cycle Time: Yan,-0.000004053,0.000008822,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.3226,0.4263,0.1037,-1.754 to 1.961
  Burst Duration: Yan,0.3442,0.4546,0.1103,-1.747 to 1.968
  Interburst Interval: TB,3.406,3.302,-0.1037,-1.973 to 1.765
  Interburst Interval: Yan,3.384,3.274,-0.1109,-1.980 to 1.758
  Intraburst Frequency: TB,76.47,97.89,21.42,19.56 to 23.27
  Intraburst Frequency: Yan,74.72,91.92,17.20,15.34 to 19.05
  Peaks per Burst: TB,24.73,41.75,17.02,15.17 to 18.88
  Peaks per Burst: Yan,25.77,41.80,16.04,14.18 to 17.89
  Total Cycle Time: TB,3.729,3.729,0.00003600,-1.869 to 1.869
  Total Cycle Time: Yan,3.729,3.728,-0.0006249,-1.870 to 1.868
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.1037,0.2271,P > 0.05,ns
  Burst Duration: Yan,0.1103,0.2416,P > 0.05,ns
  Interburst Interval: TB,-0.1037,0.2257,P > 0.05,ns
  Interburst Interval: Yan,-0.1109,0.2415,P > 0.05,ns
  Intraburst Frequency: TB,21.42,46.91,P<0.001,***
  Intraburst Frequency: Yan,17.20,37.67,P<0.001,***
  Peaks per Burst: TB,17.02,37.29,P<0.001,***
  Peaks per Burst: Yan,16.04,35.13,P<0.001,***
  Total Cycle Time: TB,0.00003600,0.00007836,P > 0.05,ns
  Total Cycle Time: Yan,-0.0006249,0.001360,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.3226,0.5028,0.1802,-1.677 to 2.038
  Burst Duration: Yan,0.3442,0.6621,0.3178,-1.540 to 2.175
  Interburst Interval: TB,3.406,3.226,-0.1804,-2.050 to 1.689
  Interburst Interval: Yan,3.384,3.064,-0.3208,-2.190 to 1.548
  Intraburst Frequency: TB,76.47,99.97,23.50,21.64 to 25.36
  Intraburst Frequency: Yan,74.72,83.34,8.623,6.765 to 10.48
  Peaks per Burst: TB,24.73,50.23,25.51,23.65 to 27.36
  Peaks per Burst: Yan,25.77,55.12,29.36,27.50 to 31.22
  Total Cycle Time: TB,3.729,3.728,-0.0003650,-1.869 to 1.869
  Total Cycle Time: Yan,3.729,3.725,-0.003225,-1.872 to 1.866
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.1802,0.3947,P > 0.05,ns
  Burst Duration: Yan,0.3178,0.6961,P > 0.05,ns
  Interburst Interval: TB,-0.1804,0.3927,P > 0.05,ns
  Interburst Interval: Yan,-0.3208,0.6982,P > 0.05,ns
  Intraburst Frequency: TB,23.50,51.48,P<0.001,***
  Intraburst Frequency: Yan,8.623,18.89,P<0.001,***
  Peaks per Burst: TB,25.51,55.87,P<0.001,***
  Peaks per Burst: Yan,29.36,64.30,P<0.001,***
  Total Cycle Time: TB,-0.0003650,0.0007945,P > 0.05,ns
  Total Cycle Time: Yan,-0.003225,0.007020,P > 0.05,ns
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.3226,0.6209,0.2983,-1.559 to 2.156
  Burst Duration: Yan,0.3442,0.9662,0.6220,-1.236 to 2.480
  Interburst Interval: TB,3.406,3.106,-0.3003,-2.169 to 1.569
  Interburst Interval: Yan,3.384,2.755,-0.6293,-2.498 to 1.240
  Intraburst Frequency: TB,76.47,100.9,24.43,22.58 to 26.29
  Intraburst Frequency: Yan,74.72,70.30,-4.421,-6.279 to -2.564
  Peaks per Burst: TB,24.73,62.67,37.94,36.08 to 39.80
  Peaks per Burst: Yan,25.77,67.79,42.02,40.17 to 43.88
  Total Cycle Time: TB,3.729,3.727,-0.002003,-1.871 to 1.867
  Total Cycle Time: Yan,3.729,3.721,-0.007369,-1.876 to 1.862
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.2983,0.6533,P > 0.05,ns
  Burst Duration: Yan,0.6220,1.362,P > 0.05,ns
  Interburst Interval: TB,-0.3003,0.6536,P > 0.05,ns
  Interburst Interval: Yan,-0.6293,1.370,P > 0.05,ns
  Intraburst Frequency: TB,24.43,53.52,P<0.001,***
  Intraburst Frequency: Yan,-4.421,9.684,P<0.001,***
  Peaks per Burst: TB,37.94,83.09,P<0.001,***
  Peaks per Burst: Yan,42.02,92.05,P<0.001,***
  Total Cycle Time: TB,-0.002003,0.004360,P > 0.05,ns
  Total Cycle Time: Yan,-0.007369,0.01604,P > 0.05,ns
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.3720,0.4263,0.05427,-1.803 to 1.912
  Burst Duration: Yan,0.3965,0.4546,0.05802,-1.800 to 1.916
  Interburst Interval: TB,3.357,3.302,-0.05432,-1.923 to 1.815
  Interburst Interval: Yan,3.332,3.274,-0.05864,-1.928 to 1.810
  Intraburst Frequency: TB,90.60,97.89,7.286,5.428 to 9.143
  Intraburst Frequency: Yan,85.15,91.92,6.773,4.915 to 8.630
  Peaks per Burst: TB,33.74,41.75,8.012,6.155 to 9.870
  Peaks per Burst: Yan,33.79,41.80,8.012,6.155 to 9.870
  Total Cycle Time: TB,3.729,3.729,-0.00004411,-1.869 to 1.869
  Total Cycle Time: Yan,3.729,3.728,-0.0006208,-1.870 to 1.868
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.05427,0.1189,P > 0.05,ns
  Burst Duration: Yan,0.05802,0.1271,P > 0.05,ns
  Interburst Interval: TB,-0.05432,0.1182,P > 0.05,ns
  Interburst Interval: Yan,-0.05864,0.1276,P > 0.05,ns
  Intraburst Frequency: TB,7.286,15.96,P<0.001,***
  Intraburst Frequency: Yan,6.773,14.83,P<0.001,***
  Peaks per Burst: TB,8.012,17.55,P<0.001,***
  Peaks per Burst: Yan,8.012,17.55,P<0.001,***
  Total Cycle Time: TB,-0.00004411,0.00009601,P > 0.05,ns
  Total Cycle Time: Yan,-0.0006208,0.001351,P > 0.05,ns
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.3720,0.5028,0.1308,-1.727 to 1.988
  Burst Duration: Yan,0.3965,0.6621,0.2655,-1.592 to 2.123
  Interburst Interval: TB,3.357,3.226,-0.1311,-2.000 to 1.738
  Interburst Interval: Yan,3.332,3.064,-0.2685,-2.138 to 1.601
  Intraburst Frequency: TB,90.60,99.97,9.372,7.514 to 11.23
  Intraburst Frequency: Yan,85.15,83.34,-1.802,-3.659 to 0.05572
  Peaks per Burst: TB,33.74,50.23,16.49,14.64 to 18.35
  Peaks per Burst: Yan,33.79,55.12,21.33,19.48 to 23.19
  Total Cycle Time: TB,3.729,3.728,-0.0004451,-1.870 to 1.869
  Total Cycle Time: Yan,3.729,3.725,-0.003221,-1.872 to 1.866
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.1308,0.2864,P > 0.05,ns
  Burst Duration: Yan,0.2655,0.5816,P > 0.05,ns
  Interburst Interval: TB,-0.1311,0.2853,P > 0.05,ns
  Interburst Interval: Yan,-0.2685,0.5844,P > 0.05,ns
  Intraburst Frequency: TB,9.372,20.53,P<0.001,***
  Intraburst Frequency: Yan,-1.802,3.946,P<0.001,***
  Peaks per Burst: TB,16.49,36.13,P<0.001,***
  Peaks per Burst: Yan,21.33,46.73,P<0.001,***
  Total Cycle Time: TB,-0.0004451,0.0009689,P > 0.05,ns
  Total Cycle Time: Yan,-0.003221,0.007011,P > 0.05,ns
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.3720,0.6209,0.2489,-1.609 to 2.106
  Burst Duration: Yan,0.3965,0.9662,0.5697,-1.288 to 2.427
  Interburst Interval: TB,3.357,3.106,-0.2509,-2.120 to 1.618
  Interburst Interval: Yan,3.332,2.755,-0.5770,-2.446 to 1.292
  Intraburst Frequency: TB,90.60,100.9,10.30,8.446 to 12.16
  Intraburst Frequency: Yan,85.15,70.30,-14.85,-16.70 to -12.99
  Peaks per Burst: TB,33.74,62.67,28.93,27.07 to 30.78
  Peaks per Burst: Yan,33.79,67.79,34.00,32.14 to 35.86
  Total Cycle Time: TB,3.729,3.727,-0.002083,-1.871 to 1.867
  Total Cycle Time: Yan,3.729,3.721,-0.007365,-1.876 to 1.862
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.2489,0.5450,P > 0.05,ns
  Burst Duration: Yan,0.5697,1.248,P > 0.05,ns
  Interburst Interval: TB,-0.2509,0.5461,P > 0.05,ns
  Interburst Interval: Yan,-0.5770,1.256,P > 0.05,ns
  Intraburst Frequency: TB,10.30,22.57,P<0.001,***
  Intraburst Frequency: Yan,-14.85,32.52,P<0.001,***
  Peaks per Burst: TB,28.93,63.36,P<0.001,***
  Peaks per Burst: Yan,34.00,74.47,P<0.001,***
  Total Cycle Time: TB,-0.002083,0.004534,P > 0.05,ns
  Total Cycle Time: Yan,-0.007365,0.01603,P > 0.05,ns
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.4263,0.5028,0.07650,-1.781 to 1.934
  Burst Duration: Yan,0.4546,0.6621,0.2075,-1.650 to 2.065
  Interburst Interval: TB,3.302,3.226,-0.07675,-1.946 to 1.792
  Interburst Interval: Yan,3.274,3.064,-0.2098,-2.079 to 1.659
  Intraburst Frequency: TB,97.89,99.97,2.086,0.2284 to 3.943
  Intraburst Frequency: Yan,91.92,83.34,-8.574,-10.43 to -6.717
  Peaks per Burst: TB,41.75,50.23,8.481,6.624 to 10.34
  Peaks per Burst: Yan,41.80,55.12,13.32,11.46 to 15.18
  Total Cycle Time: TB,3.729,3.728,-0.0004010,-1.870 to 1.869
  Total Cycle Time: Yan,3.728,3.725,-0.002600,-1.872 to 1.867
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.07650,0.1676,P > 0.05,ns
  Burst Duration: Yan,0.2075,0.4545,P > 0.05,ns
  Interburst Interval: TB,-0.07675,0.1671,P > 0.05,ns
  Interburst Interval: Yan,-0.2098,0.4568,P > 0.05,ns
  Intraburst Frequency: TB,2.086,4.569,P<0.001,***
  Intraburst Frequency: Yan,-8.574,18.78,P<0.001,***
  Peaks per Burst: TB,8.481,18.58,P<0.001,***
  Peaks per Burst: Yan,13.32,29.18,P<0.001,***
  Total Cycle Time: TB,-0.0004010,0.0008729,P > 0.05,ns
  Total Cycle Time: Yan,-0.002600,0.005659,P > 0.05,ns
