,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-60.0 gnaps2.4 vs eL-65.0 gnaps2.4,39.2,41.32,1.0516983429048196e-92,1.406657996924071e-96,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.0,63.21,107.4,4.501384643635425e-129,2.319761026912249e-171,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.6,23.23,159.0,2.7932392971370035e-57,3.316196409764893e-203,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps4.2,10.75,143.3,2.4442140599176427e-21,9.64290535661259e-195,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps3.6,2.883,7.659,0.00439561819904551,9.441955590319045e-13,False,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps4.2,5.667,1.195,5.356016950418676e-08,0.23358439839098113,True,False
eL-60.0 gnaps3.0 vs eL-65.0 gnaps1.8,7.219,8.663,1.2402391217482526e-11,2.029699667061175e-15,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps2.4,48.48,68.54,1.4445930988574247e-108,1.9275335230824033e-135,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.0,74.48,141.6,5.075446575210527e-142,9.01135755651788e-194,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.6,33.05,199.6,1.77809050359612e-80,9.230283999584583e-222,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps4.2,2.717,185.3,0.0071995447533796655,1.0869616900620266e-215,False,True
eL-60.0 gnaps3.6 vs eL-60.0 gnaps4.2,2.813,9.405,0.0054268848085374,1.7812655243165844e-17,False,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps1.8,9.79,15.03,1.4472321580278027e-18,4.199161389087794e-34,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps2.4,52.44,77.4,1.4415834898701972e-114,4.452780474023522e-145,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.0,79.61,153.6,2.548066366795685e-147,2.1631528012570494e-200,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.6,37.25,214.7,5.401167849869508e-89,1.0126730383940041e-227,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps4.2,0.3266,201.1,0.7443318325480821,2.257044892396955e-222,False,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps1.8,12.2,8.047,1.2610536465717744e-25,9.159933818155636e-14,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps2.4,56.0,70.77,1.2360475261016367e-119,5.688511564174107e-138,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.0,84.14,148.2,9.720282367280624e-152,1.7727541731677928e-197,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.6,41.13,210.6,3.081973719789613e-96,3.815404942453809e-226,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps4.2,3.316,196.7,0.0010949063877804582,1.4481286234488922e-220,False,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps2.4,35.04,49.68,1.3207242264702e-84,1.9862789513421666e-110,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.0,56.15,108.7,7.670993788783197e-120,2.4746855282051345e-172,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.6,20.08,153.8,9.386009098594486e-49,1.6948171525931073e-200,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps4.2,9.875,139.2,8.279331165631019e-19,2.2114253849023033e-192,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.0,21.18,62.32,8.606806326088869e-52,5.811171347259656e-128,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.6,20.01,110.7,1.4719802871389788e-48,8.31812452040547e-174,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps4.2,54.37,93.18,2.3750443980939446e-117,6.421294631558974e-160,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps3.6,45.21,48.75,2.7467092499083687e-103,5.463307218945974e-109,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps4.2,83.14,27.38,8.777612808552167e-151,1.0834222055790881e-67,True,True
eL-65.0 gnaps3.6 vs eL-65.0 gnaps4.2,39.03,25.02,2.1858147573782355e-92,6.933759797167374e-62,True,True
